customer_id,group,choice,txn_date
4596,treatment,AmberOak,2025-06-06
5030,control,,
8424,control,CitrusZing,2025-06-21
18598,treatment,,
3655,treatment,CitrusZing,2025-06-02
2156,treatment,CitrusZing,2025-06-03
24243,treatment,,
2611,control,,
8555,control,,
319,treatment,FarmhouseSaison,2025-06-07
17504,treatment,,
9537,treatment,TropicalIPA,2025-06-12
5704,control,RyeRanger,2025-06-12
13658,treatment,,
22927,treatment,,
26779,control,HazyHopper,2025-06-01
8752,control,RyeRanger,2025-06-18
20049,treatment,VelvetPorter,2025-06-12
26006,treatment,,
9717,treatment,,
18845,control,,
6466,control,RyeRanger,2025-06-07
21595,control,VelvetPorter,2025-06-15
483,treatment,,
6864,control,,
4592,control,,
23669,control,,
25931,treatment,VelvetPorter,2025-06-11
18019,treatment,,
1497,treatment,RyeRanger,2025-06-18
16060,control,,
25596,control,CitrusZing,2025-06-24
6034,control,,
25137,treatment,VelvetPorter,2025-06-17
6074,control,FarmhouseSaison,2025-06-21
20812,control,AmberOak,2025-06-29
5373,control,RyeRanger,2025-06-11
1677,control,,
11480,control,,
23423,control,RyeRanger,2025-06-28
6891,treatment,CitrusZing,2025-06-08
26528,control,RyeRanger,2025-06-14
8599,control,,
16266,control,CitrusZing,2025-06-30
2722,treatment,,
1827,treatment,MidnightStout,2025-06-26
16352,treatment,CherryLambic,2025-06-08
20574,control,RyeRanger,2025-06-15
5602,treatment,,
9760,control,,
3599,control,,
12710,treatment,MidnightStout,2025-06-13
13410,control,TropicalIPA,2025-06-21
6737,control,,
20567,control,RyeRanger,2025-06-06
2670,treatment,,
24516,treatment,FarmhouseSaison,2025-06-13
17560,control,,
1223,control,CitrusZing,2025-06-17
16196,control,RyeRanger,2025-06-12
25767,control,TropicalIPA,2025-06-09
5818,control,CherryLambic,2025-06-15
204,treatment,,
17024,treatment,,
7498,control,,
14323,control,RyeRanger,2025-06-12
8377,control,,
24351,control,AmberOak,2025-06-17
15978,control,,
6225,control,RyeRanger,2025-06-25
26296,treatment,,
14216,treatment,VelvetPorter,2025-06-14
5919,control,,
20150,treatment,,
17013,treatment,,
26414,treatment,,
18772,control,FarmhouseSaison,2025-06-01
16597,treatment,,
25692,control,,
21012,treatment,,
23833,treatment,VelvetPorter,2025-06-30
3721,treatment,AlpinePils,2025-06-27
5668,control,CitrusZing,2025-06-29
3164,treatment,TropicalIPA,2025-06-02
19929,treatment,,
6721,control,CitrusZing,2025-06-14
1611,control,CitrusZing,2025-06-22
18206,treatment,,
19892,treatment,,
12502,control,RyeRanger,2025-06-16
773,treatment,HazyHopper,2025-06-24
16457,treatment,,
21151,treatment,TropicalIPA,2025-06-13
12318,control,RyeRanger,2025-06-15
25717,treatment,,
20053,control,FarmhouseSaison,2025-06-15
20721,treatment,AmberOak,2025-06-21
21283,control,,
2169,control,RyeRanger,2025-06-25
3203,control,AmberOak,2025-06-04
15497,treatment,,
23849,control,,
22401,treatment,,
11981,treatment,,
9716,control,,
24208,treatment,AmberOak,2025-06-22
22188,control,,
10859,control,,
27035,control,AmberOak,2025-06-23
1775,treatment,FarmhouseSaison,2025-06-08
340,treatment,VelvetPorter,2025-06-26
14220,control,CitrusZing,2025-06-22
20057,treatment,HazyHopper,2025-06-16
6320,treatment,MidnightStout,2025-06-26
3924,treatment,AmberOak,2025-06-11
8423,control,RyeRanger,2025-06-07
6754,control,RyeRanger,2025-06-20
1992,control,CitrusZing,2025-06-18
27110,control,RyeRanger,2025-06-20
6781,control,,
16557,treatment,MidnightStout,2025-06-20
21161,control,,
13270,control,,
1321,treatment,,
3642,control,,
2712,control,,
251,treatment,,
3586,treatment,,
12594,control,,
24413,control,CitrusZing,2025-06-05
4160,control,,
18810,control,RyeRanger,2025-06-20
20137,control,,
7102,control,,
12155,control,RyeRanger,2025-06-24
6439,control,,
2034,control,RyeRanger,2025-06-08
20204,treatment,,
26421,treatment,CitrusZing,2025-06-09
22477,control,,
23165,treatment,MidnightStout,2025-06-22
748,control,,
25903,control,RyeRanger,2025-06-03
23814,control,CherryLambic,2025-06-12
5784,control,CitrusZing,2025-06-02
18191,control,RyeRanger,2025-06-22
24205,control,RyeRanger,2025-06-01
6052,control,,
17256,treatment,CherryLambic,2025-06-06
12936,control,,
21882,control,,
18786,control,,
12063,treatment,,
1368,treatment,MidnightStout,2025-06-29
11858,treatment,,
13362,control,,
16186,treatment,,
26431,control,CitrusZing,2025-06-30
7240,control,CitrusZing,2025-06-21
22749,treatment,,
25092,control,,
1103,control,,
17573,control,,
10362,control,,
706,treatment,VelvetPorter,2025-06-12
69,control,RyeRanger,2025-06-13
26324,treatment,,
12200,treatment,FarmhouseSaison,2025-06-23
1841,treatment,FarmhouseSaison,2025-06-23
3463,control,AmberOak,2025-06-09
25423,control,,
12563,treatment,CitrusZing,2025-06-25
14611,treatment,RyeRanger,2025-06-12
16822,control,RyeRanger,2025-06-22
2711,treatment,MidnightStout,2025-06-30
17493,control,,
13261,control,RyeRanger,2025-06-13
21288,control,RyeRanger,2025-06-30
25284,control,AlpinePils,2025-06-12
196,treatment,HazyHopper,2025-06-27
15166,control,VelvetPorter,2025-06-21
3322,treatment,HazyHopper,2025-06-12
15389,treatment,MidnightStout,2025-06-18
24851,treatment,FarmhouseSaison,2025-06-27
18528,treatment,TropicalIPA,2025-06-07
21334,treatment,,
22684,control,,
316,control,,
18683,control,RyeRanger,2025-06-28
3828,control,RyeRanger,2025-06-23
784,control,,
12495,control,,
24268,control,RyeRanger,2025-06-10
16933,control,,
2278,treatment,TropicalIPA,2025-06-04
23290,control,RyeRanger,2025-06-22
15993,control,RyeRanger,2025-06-21
22864,treatment,,
18555,control,,
1412,treatment,TropicalIPA,2025-06-05
10800,control,,
2582,control,,
15748,control,RyeRanger,2025-06-29
5015,treatment,,
