customer_id,group,choice,txn_date,purchase_flag
16315,treatment,MidnightStout,2025-06-05,1
24989,control,,,0
14266,control,TropicalIPA,2025-06-16,1
17785,control,CitrusZing,2025-06-13,1
19752,control,,,0
1407,treatment,,,0
16212,control,,,0
2350,control,CitrusZing,2025-06-04,1
898,control,,,0
22479,treatment,,,0
17107,control,CitrusZing,2025-06-09,1
20757,control,,,0
24160,treatment,CherryLambic,2025-06-29,1
24198,control,CitrusZing,2025-06-28,1
19264,control,,,0
25330,control,AlpinePils,2025-06-30,1
27260,control,,,0
11052,control,HazyHopper,2025-06-25,1
14903,control,CitrusZing,2025-06-29,1
4277,treatment,,,0
19547,control,CitrusZing,2025-06-20,1
23958,control,,,0
4477,treatment,AlpinePils,2025-06-09,1
26780,treatment,CitrusZing,2025-06-02,1
23149,treatment,HazyHopper,2025-06-12,1
6403,control,CitrusZing,2025-06-24,1
7158,treatment,,,0
4393,control,HazyHopper,2025-06-10,1
1305,control,,,0
17660,control,,,0
13568,control,,,0
10601,control,HazyHopper,2025-06-29,1
24501,control,,,0
11051,control,,,0
15498,treatment,,,0
3943,treatment,,,0
4797,control,,,0
15888,treatment,HazyHopper,2025-06-09,1
4387,control,HazyHopper,2025-06-22,1
7960,treatment,FarmhouseSaison,2025-06-22,1
20249,treatment,AmberOak,2025-06-18,1
8847,control,CitrusZing,2025-06-01,1
19524,treatment,TropicalIPA,2025-06-09,1
850,control,HazyHopper,2025-06-16,1
6289,control,,,0
25465,control,,,0
24181,treatment,TropicalIPA,2025-06-02,1
23942,treatment,CitrusZing,2025-06-10,1
6970,control,CherryLambic,2025-06-26,1
19173,treatment,,,0
26573,control,HazyHopper,2025-06-29,1
23907,control,,,0
21133,treatment,,,0
24926,control,,,0
6550,control,HazyHopper,2025-06-03,1
3743,control,,,0
694,control,,,0
11713,control,HazyHopper,2025-06-01,1
4238,control,,,0
21815,treatment,TropicalIPA,2025-06-12,1
14581,treatment,,,0
12875,treatment,,,0
20602,control,CitrusZing,2025-06-26,1
6965,control,,,0
3078,control,,,0
19210,treatment,MidnightStout,2025-06-16,1
23852,control,HazyHopper,2025-06-05,1
21085,control,,,0
24814,treatment,,,0
10062,control,HazyHopper,2025-06-07,1
26233,treatment,,,0
27339,treatment,,,0
197,control,,,0
2260,treatment,,,0
25197,control,,,0
17676,control,HazyHopper,2025-06-08,1
11237,treatment,,,0
