source,target
ID1,ID3
ID1,ID4
ID1,ID5
ID1,ID6
ID1,ID14
ID1,ID18
ID1,ID21
ID1,ID26
ID1,ID30
ID1,ID34
ID1,ID35
ID1,ID36
ID1,ID37
ID1,ID43
ID2,ID9
ID2,ID14
ID2,ID16
ID2,ID17
ID2,ID21
ID2,ID33
ID2,ID36
ID2,ID41
ID2,ID43
ID3,ID1
ID3,ID4
ID3,ID9
ID3,ID28
ID3,ID29
ID3,ID33
ID3,ID34
ID3,ID35
ID3,ID36
ID3,ID37
ID3,ID39
ID3,ID40
ID4,ID1
ID4,ID3
ID4,ID6
ID4,ID14
ID4,ID25
ID4,ID26
ID4,ID29
ID4,ID30
ID4,ID31
ID4,ID34
ID5,ID1
ID5,ID16
ID5,ID17
ID5,ID19
ID5,ID20
ID5,ID21
ID5,ID22
ID5,ID23
ID5,ID33
ID5,ID34
ID5,ID43
ID6,ID1
ID6,ID4
ID6,ID18
ID6,ID26
ID6,ID30
ID6,ID31
ID6,ID34
ID6,ID39
ID6,ID40
ID7,ID10
ID7,ID15
ID7,ID17
ID7,ID19
ID7,ID27
ID7,ID32
ID8,ID18
ID8,ID21
ID8,ID27
ID8,ID33
ID8,ID41
ID9,ID2
ID9,ID3
ID9,ID11
ID9,ID12
ID9,ID14
ID9,ID16
ID9,ID17
ID9,ID18
ID9,ID23
ID9,ID29
ID9,ID34
ID9,ID36
ID9,ID43
ID10,ID7
ID10,ID11
ID10,ID15
ID10,ID25
ID10,ID32
ID10,ID36
ID10,ID40
ID10,ID42
ID11,ID9
ID11,ID10
ID11,ID15
ID11,ID27
ID11,ID28
ID11,ID32
ID11,ID33
ID11,ID40
ID12,ID9
ID12,ID13
ID12,ID14
ID12,ID17
ID12,ID30
ID12,ID35
ID12,ID36
ID13,ID12
ID13,ID14
ID13,ID35
ID13,ID36
ID14,ID1
ID14,ID2
ID14,ID4
ID14,ID9
ID14,ID12
ID14,ID13
ID14,ID16
ID14,ID33
ID15,ID7
ID15,ID10
ID15,ID11
ID15,ID32
ID15,ID40
ID15,ID42
ID16,ID2
ID16,ID5
ID16,ID9
ID16,ID14
ID16,ID17
ID16,ID18
ID16,ID20
ID16,ID28
ID16,ID33
ID16,ID41
ID17,ID2
ID17,ID5
ID17,ID7
ID17,ID9
ID17,ID12
ID17,ID16
ID17,ID19
ID17,ID22
ID17,ID28
ID17,ID32
ID17,ID35
ID17,ID36
ID17,ID40
ID18,ID1
ID18,ID6
ID18,ID8
ID18,ID9
ID18,ID16
ID18,ID21
ID18,ID23
ID18,ID26
ID18,ID29
ID18,ID33
ID18,ID37
ID18,ID39
ID18,ID40
ID19,ID5
ID19,ID7
ID19,ID17
ID19,ID20
ID19,ID23
ID19,ID32
ID20,ID5
ID20,ID16
ID20,ID19
ID20,ID21
ID20,ID22
ID20,ID23
ID20,ID33
ID20,ID34
ID20,ID37
ID21,ID1
ID21,ID2
ID21,ID5
ID21,ID8
ID21,ID18
ID21,ID20
ID21,ID22
ID21,ID23
ID21,ID33
ID21,ID41
ID21,ID43
ID22,ID5
ID22,ID17
ID22,ID20
ID22,ID21
ID23,ID5
ID23,ID9
ID23,ID18
ID23,ID19
ID23,ID20
ID23,ID21
ID24,ID28
ID24,ID31
ID24,ID36
ID24,ID38
ID25,ID4
ID25,ID10
ID25,ID30
ID25,ID36
ID25,ID40
ID25,ID42
ID26,ID1
ID26,ID4
ID26,ID6
ID26,ID18
ID26,ID30
ID26,ID31
ID26,ID32
ID26,ID34
ID26,ID39
ID26,ID40
ID27,ID7
ID27,ID8
ID27,ID11
ID27,ID28
ID27,ID32
ID28,ID3
ID28,ID11
ID28,ID16
ID28,ID17
ID28,ID24
ID28,ID27
ID28,ID29
ID28,ID33
ID29,ID3
ID29,ID4
ID29,ID9
ID29,ID18
ID29,ID28
ID29,ID30
ID29,ID34
ID29,ID35
ID29,ID36
ID29,ID37
ID29,ID39
ID30,ID1
ID30,ID4
ID30,ID6
ID30,ID12
ID30,ID25
ID30,ID26
ID30,ID29
ID30,ID39
ID30,ID40
ID30,ID42
ID31,ID4
ID31,ID6
ID31,ID24
ID31,ID26
ID31,ID38
ID32,ID7
ID32,ID10
ID32,ID11
ID32,ID15
ID32,ID17
ID32,ID19
ID32,ID26
ID32,ID27
ID33,ID2
ID33,ID3
ID33,ID5
ID33,ID8
ID33,ID11
ID33,ID14
ID33,ID16
ID33,ID18
ID33,ID20
ID33,ID21
ID33,ID28
ID33,ID41
ID33,ID43
ID34,ID1
ID34,ID3
ID34,ID4
ID34,ID5
ID34,ID6
ID34,ID9
ID34,ID20
ID34,ID26
ID34,ID29
ID34,ID35
ID34,ID37
ID35,ID1
ID35,ID3
ID35,ID12
ID35,ID13
ID35,ID17
ID35,ID29
ID35,ID34
ID35,ID36
ID35,ID37
ID35,ID39
ID36,ID1
ID36,ID2
ID36,ID3
ID36,ID9
ID36,ID10
ID36,ID12
ID36,ID13
ID36,ID17
ID36,ID24
ID36,ID25
ID36,ID29
ID36,ID35
ID36,ID37
ID36,ID38
ID36,ID39
ID37,ID1
ID37,ID3
ID37,ID18
ID37,ID20
ID37,ID29
ID37,ID34
ID37,ID35
ID37,ID36
ID37,ID39
ID37,ID43
ID38,ID24
ID38,ID31
ID38,ID36
ID39,ID3
ID39,ID6
ID39,ID18
ID39,ID26
ID39,ID29
ID39,ID30
ID39,ID35
ID39,ID36
ID39,ID37
ID39,ID40
ID40,ID3
ID40,ID6
ID40,ID10
ID40,ID11
ID40,ID15
ID40,ID17
ID40,ID18
ID40,ID25
ID40,ID26
ID40,ID30
ID40,ID39
ID40,ID42
ID41,ID2
ID41,ID8
ID41,ID16
ID41,ID21
ID41,ID33
ID42,ID10
ID42,ID15
ID42,ID25
ID42,ID30
ID42,ID40
ID43,ID1
ID43,ID2
ID43,ID5
ID43,ID9
ID43,ID21
ID43,ID33
ID43,ID37
