customer_id,group,choice,txn_date
6127,control,HazyHopper,2025-06-02
207,control,FarmhouseSaison,2025-06-09
7761,treatment,VelvetPorter,2025-06-30
4738,treatment,,
5489,control,FarmhouseSaison,2025-06-30
8395,treatment,,
4171,control,,
5286,treatment,,
956,control,HazyHopper,2025-06-28
7674,control,,
3778,control,,
1428,control,,
8095,control,,
9128,treatment,VelvetPorter,2025-06-17
7970,treatment,RyeRanger,2025-06-26
4692,treatment,,
4783,treatment,CherryLambic,2025-06-04
2261,treatment,,
2649,treatment,,
3108,control,HazyHopper,2025-06-03
9696,control,,
7714,control,FarmhouseSaison,2025-06-19
9831,control,CitrusZing,2025-06-09
7482,control,FarmhouseSaison,2025-06-26
5938,control,,
9775,treatment,AmberOak,2025-06-04
8805,control,RyeRanger,2025-06-29
7521,control,FarmhouseSaison,2025-06-16
344,treatment,,
6963,control,HazyHopper,2025-06-24
7631,treatment,,
155,control,RyeRanger,2025-06-17
7971,control,,
3714,control,FarmhouseSaison,2025-06-02
924,treatment,RyeRanger,2025-06-06
9383,treatment,HazyHopper,2025-06-17
6818,treatment,,
1736,control,,
1189,control,FarmhouseSaison,2025-06-28
156,control,,
5712,control,HazyHopper,2025-06-01
6407,control,,
6876,control,HazyHopper,2025-06-19
848,control,,
3456,control,RyeRanger,2025-06-06
7667,treatment,,
7366,treatment,,
3074,control,HazyHopper,2025-06-22
7547,control,,
7423,control,,
3010,treatment,CherryLambic,2025-06-14
2819,treatment,,
887,treatment,CherryLambic,2025-06-17
2058,control,RyeRanger,2025-06-07
5795,treatment,,
7166,control,,
771,treatment,HazyHopper,2025-06-06
7035,control,HazyHopper,2025-06-07
4663,control,HazyHopper,2025-06-07
9671,control,FarmhouseSaison,2025-06-08
5868,treatment,,
1856,control,FarmhouseSaison,2025-06-23
2245,control,,
9106,treatment,FarmhouseSaison,2025-06-16
7008,control,,
1613,treatment,,
8371,control,RyeRanger,2025-06-07
2965,control,,
6228,control,HazyHopper,2025-06-30
4690,control,HazyHopper,2025-06-20
5749,treatment,,
1180,control,,
1492,treatment,FarmhouseSaison,2025-06-07
9271,treatment,CitrusZing,2025-06-09
2680,control,HazyHopper,2025-06-08
2579,treatment,FarmhouseSaison,2025-06-10
1056,control,HazyHopper,2025-06-30
9371,treatment,RyeRanger,2025-06-08
4852,control,,
6778,control,,
4578,treatment,MidnightStout,2025-06-04
5281,control,,
5218,control,FarmhouseSaison,2025-06-18
6976,control,HazyHopper,2025-06-03
755,control,RyeRanger,2025-06-23
6242,treatment,CitrusZing,2025-06-06
6620,treatment,HazyHopper,2025-06-30
2850,control,HazyHopper,2025-06-14
2173,control,,
3262,control,,
8459,control,,
1770,treatment,FarmhouseSaison,2025-06-24
2445,control,HazyHopper,2025-06-19
9155,treatment,AlpinePils,2025-06-24
85,treatment,,
8537,treatment,AmberOak,2025-06-24
3126,control,,
2403,treatment,HazyHopper,2025-06-01
8316,treatment,,
9023,treatment,AlpinePils,2025-06-20
5541,control,CitrusZing,2025-06-14
9408,treatment,TropicalIPA,2025-06-16
246,treatment,,
4177,control,RyeRanger,2025-06-20
8049,control,RyeRanger,2025-06-17
7839,treatment,,
3809,control,,
6126,control,,
7579,treatment,,
1910,treatment,VelvetPorter,2025-06-23
7852,control,HazyHopper,2025-06-27
4874,control,,
2855,control,FarmhouseSaison,2025-06-27
1954,control,,
9594,treatment,,
5954,treatment,,
9917,treatment,VelvetPorter,2025-06-29
3322,treatment,AmberOak,2025-06-08
5881,control,RyeRanger,2025-06-22
1112,control,,
5231,control,,
6667,treatment,AmberOak,2025-06-08
6596,treatment,RyeRanger,2025-06-28
1051,control,,
3955,control,,
399,treatment,AmberOak,2025-06-10
6637,control,RyeRanger,2025-06-22
2810,treatment,RyeRanger,2025-06-03
6676,control,,
6257,control,RyeRanger,2025-06-12
6111,control,HazyHopper,2025-06-28
838,control,,
1785,control,,
60,treatment,VelvetPorter,2025-06-04
7701,control,TropicalIPA,2025-06-30
905,treatment,,
1382,treatment,,
8838,control,FarmhouseSaison,2025-06-27
7947,control,,
1456,treatment,,
8615,control,,
1942,control,,
259,treatment,,
9249,treatment,MidnightStout,2025-06-04
2227,control,,
6858,treatment,CitrusZing,2025-06-17
8082,control,,
7995,treatment,MidnightStout,2025-06-03
1389,control,,
2706,control,HazyHopper,2025-06-27
1819,control,VelvetPorter,2025-06-12
6024,control,,
2499,treatment,,
7209,control,,
3722,control,,
4072,treatment,TropicalIPA,2025-06-18
9748,treatment,CitrusZing,2025-06-05
3427,treatment,MidnightStout,2025-06-03
3951,treatment,,
9230,treatment,TropicalIPA,2025-06-26
2220,treatment,CitrusZing,2025-06-08
6944,treatment,FarmhouseSaison,2025-06-01
6378,treatment,AmberOak,2025-06-08
4283,control,,
9895,control,,
9064,treatment,HazyHopper,2025-06-05
648,control,,
6372,control,RyeRanger,2025-06-23
556,control,,
6897,control,HazyHopper,2025-06-05
6191,control,,
476,control,FarmhouseSaison,2025-06-30
3207,treatment,AmberOak,2025-06-13
8335,control,VelvetPorter,2025-06-20
4910,treatment,,
2985,control,VelvetPorter,2025-06-11
2143,control,VelvetPorter,2025-06-12
8824,control,HazyHopper,2025-06-12
5361,control,,
3062,treatment,,
1582,treatment,,
3397,treatment,,
433,control,HazyHopper,2025-06-15
6808,control,RyeRanger,2025-06-07
5457,control,HazyHopper,2025-06-19
4228,treatment,,
5566,control,RyeRanger,2025-06-25
9538,control,VelvetPorter,2025-06-06
4027,control,,
3746,treatment,,
4990,treatment,FarmhouseSaison,2025-06-16
8493,treatment,CherryLambic,2025-06-19
509,treatment,AlpinePils,2025-06-14
1738,treatment,AmberOak,2025-06-03
5225,treatment,CherryLambic,2025-06-12
5635,control,,
7989,treatment,,
8447,treatment,VelvetPorter,2025-06-06
750,control,,
9719,treatment,FarmhouseSaison,2025-06-11
673,control,RyeRanger,2025-06-21
2637,control,RyeRanger,2025-06-09
5353,treatment,,
5927,treatment,FarmhouseSaison,2025-06-24
2072,control,VelvetPorter,2025-06-10
5584,treatment,,
2911,control,,
4265,treatment,TropicalIPA,2025-06-17
9127,treatment,MidnightStout,2025-06-13
2387,control,,
151,treatment,,
2522,control,,
9494,treatment,CherryLambic,2025-06-12
1793,treatment,MidnightStout,2025-06-23
1827,control,RyeRanger,2025-06-26
7527,control,HazyHopper,2025-06-13
4390,control,,
1316,treatment,,
2166,control,,
7813,control,,
7044,control,,
1248,control,HazyHopper,2025-06-30
7400,control,,
9091,treatment,CherryLambic,2025-06-30
4889,control,VelvetPorter,2025-06-13
9750,control,,
2538,treatment,MidnightStout,2025-06-17
9031,treatment,,
3069,control,,
2655,treatment,,
4519,treatment,CitrusZing,2025-06-06
5398,control,,
538,treatment,HazyHopper,2025-06-20
8345,treatment,HazyHopper,2025-06-22
9453,treatment,AlpinePils,2025-06-25
7614,treatment,MidnightStout,2025-06-14
9233,treatment,,
3987,treatment,RyeRanger,2025-06-15
8914,treatment,CitrusZing,2025-06-18
4318,control,,
1221,control,FarmhouseSaison,2025-06-27
2476,treatment,,
6335,treatment,,
4353,treatment,TropicalIPA,2025-06-02
7229,control,HazyHopper,2025-06-02
8454,control,HazyHopper,2025-06-13
5143,treatment,RyeRanger,2025-06-30
4216,treatment,MidnightStout,2025-06-13
9367,treatment,,
1173,treatment,CitrusZing,2025-06-17
7085,control,FarmhouseSaison,2025-06-01
6408,treatment,CherryLambic,2025-06-02
3102,treatment,,
5467,treatment,FarmhouseSaison,2025-06-29
6131,control,RyeRanger,2025-06-21
8287,control,FarmhouseSaison,2025-06-23
4632,control,RyeRanger,2025-06-22
4414,control,,
2165,treatment,AlpinePils,2025-06-23
2988,control,VelvetPorter,2025-06-03
7694,treatment,HazyHopper,2025-06-01
1118,treatment,AmberOak,2025-06-07
49,control,,
7909,treatment,,
4828,treatment,,
7036,treatment,,
2404,treatment,RyeRanger,2025-06-14
3496,treatment,RyeRanger,2025-06-12
7440,control,HazyHopper,2025-06-11
2316,control,FarmhouseSaison,2025-06-16
770,control,,
9829,treatment,AmberOak,2025-06-15
652,control,RyeRanger,2025-06-20
7358,control,RyeRanger,2025-06-09
4352,treatment,AmberOak,2025-06-25
4755,control,HazyHopper,2025-06-24
2684,control,VelvetPorter,2025-06-11
4930,treatment,,
3051,control,TropicalIPA,2025-06-17
7783,control,HazyHopper,2025-06-08
9904,treatment,FarmhouseSaison,2025-06-08
2673,control,,
1567,treatment,FarmhouseSaison,2025-06-18
633,control,RyeRanger,2025-06-25
7509,treatment,MidnightStout,2025-06-24
2360,treatment,FarmhouseSaison,2025-06-13
7675,treatment,AlpinePils,2025-06-16
6088,treatment,,
6045,control,HazyHopper,2025-06-09
93,treatment,CherryLambic,2025-06-12
1238,treatment,,
1671,control,,
1197,treatment,RyeRanger,2025-06-05
2572,treatment,,
8932,treatment,,
16,control,HazyHopper,2025-06-22
4950,treatment,HazyHopper,2025-06-08
6640,control,,
4773,control,,
1110,treatment,CherryLambic,2025-06-22
4304,control,RyeRanger,2025-06-18
5047,treatment,,
3376,treatment,,
3703,treatment,AmberOak,2025-06-19
